"File name","WAVE0009.CSV","V 1.11"
"Title comment","1TEST"
"Trigger Time","21-08-03 12:45:19"
"Ch","Mode","Range","Comment","Scaling","Ratio","Offset"
"CH-1","Tc","2000 C","","OFF","-","-"
"CH-2","Tc","2000 C","","OFF","-","-"
"CH-3","Tc","2000 C","","OFF","-","-"
"CH-4","Tc","2000 C","","OFF","-","-"
"Time","CH-1[C]","CH-2[C]","CH-3[C]","CH-4[C]","Event",
 0.000000000E+00, 2.47000E+01, 2.46000E+01, 2.47000E+01, 2.43000E+01,0,
 1.000000000E+00, 2.46000E+01, 2.48000E+01, 2.47000E+01, 2.43000E+01,0,
 2.000000000E+00, 2.47000E+01, 2.62000E+01, 2.48000E+01, 2.43000E+01,0,
 3.000000000E+00, 2.48000E+01, 2.80000E+01, 2.50000E+01, 2.42000E+01,0,
 4.000000000E+00, 2.52000E+01, 3.00000E+01, 2.53000E+01, 2.42000E+01,0,
 5.000000000E+00, 2.56000E+01, 3.17000E+01, 2.58000E+01, 2.41000E+01,0,
 6.000000000E+00, 2.62000E+01, 3.37000E+01, 2.64000E+01, 2.41000E+01,0,
 7.000000000E+00, 2.69000E+01, 3.54000E+01, 2.71000E+01, 2.41000E+01,0,
 8.000000000E+00, 2.75000E+01, 3.71000E+01, 2.79000E+01, 2.40000E+01,0,
 9.000000000E+00, 2.84000E+01, 3.87000E+01, 2.86000E+01, 2.40000E+01,0,
 1.000000000E+01, 2.94000E+01, 4.02000E+01, 2.95000E+01, 2.41000E+01,0,
 1.100000000E+01, 3.01000E+01, 4.21000E+01, 3.05000E+01, 2.42000E+01,0,
 1.200000000E+01, 3.08000E+01, 4.37000E+01, 3.17000E+01, 2.42000E+01,0,
 1.300000000E+01, 3.18000E+01, 4.50000E+01, 3.29000E+01, 2.42000E+01,0,
 1.400000000E+01, 3.28000E+01, 4.63000E+01, 3.40000E+01, 2.43000E+01,0,
 1.500000000E+01, 3.37000E+01, 4.84000E+01, 3.51000E+01, 2.43000E+01,0,
 1.600000000E+01, 3.48000E+01, 5.05000E+01, 3.62000E+01, 2.43000E+01,0,
 1.700000000E+01, 3.59000E+01, 5.18000E+01, 3.76000E+01, 2.43000E+01,0,
 1.800000000E+01, 3.64000E+01, 5.29000E+01, 3.87000E+01, 2.43000E+01,0,
 1.900000000E+01, 3.78000E+01, 5.41000E+01, 4.00000E+01, 2.43000E+01,0,
 2.000000000E+01, 3.84000E+01, 5.51000E+01, 4.08000E+01, 2.43000E+01,0,
 2.100000000E+01, 3.90000E+01, 5.61000E+01, 4.16000E+01, 2.43000E+01,0,
 2.200000000E+01, 3.98000E+01, 5.70000E+01, 4.28000E+01, 2.43000E+01,0,
 2.300000000E+01, 4.04000E+01, 5.78000E+01, 4.41000E+01, 2.42000E+01,0,
 2.400000000E+01, 4.13000E+01, 5.82000E+01, 4.51000E+01, 2.42000E+01,0,
 2.500000000E+01, 4.28000E+01, 5.90000E+01, 4.61000E+01, 2.43000E+01,0,
 2.600000000E+01, 4.36000E+01, 6.03000E+01, 4.67000E+01, 2.44000E+01,0,
